Block,Record_ID,Service_or_Agency,Organization,Program_Name,Program_Acronym,Portfolio_or_Mission_Area,Capability_Area,Program_Element_Number,Line_Item,Appropriation_Type,Budget_Activity,Funding_Category,Fiscal_Year,POM_Window,Funding_ThenYear_USD_M,Funding_Base_USD_M,Classification_Level,TRL_or_Maturity,Tier_or_Priority,Sponsor,Executor,Partner_Nations,RDTandE_Phase,Transition_Pathway,IC_or_DoD_Stakeholders,Risk_or_Issue_Flags,Alignment_Notes,Source_Document,Source_Page_or_Table,Source_URL,Analyst_Notes
"USAF BA2","USAF-BA2-0602269F","Air Force","Department of the Air Force","Directed Energy Applied Research (HEL/HPM/Beam Control)","DE AR","DE / Energy / EW","HEL materials, beam control, HPM sources, optical components","0602269F","0602269F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence; technical details may be classified)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RD","","Applied Research","BA2 DE science → BA3 DE demonstrators → BA4 DE prototype integration (airborne & ground)","Air Force, Army RCCTO, MDA, OSD(R&E)","Technical risk in power, thermal, engagement conditions","Aligned with DE modernization priorities in NDAA/OSD(R&E) roadmaps","Air Force R-1 / DE roadmaps","","https://comptroller.defense.gov/Budget-Materials/","Important S&T path feeding joint DE demonstrators in ABM."
"USAF BA2","USAF-BA2-0602265F","Air Force","Department of the Air Force","Hypersonic Science & Aerothermodynamics Applied Research","", "Hypersonics / Materials","Hypersonic aerodynamics, materials, aero heating, boundary layer control","0602265F","0602265F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RQ","","Applied Research","BA2 hypersonic science → BA3 hypersonic ATDs → BA4 weapon platform developments","Air Force, OSD(R&E), joint hypersonics","High technical risk; flight-test limitations","Foundation for hypersonic weapon and aircraft programs","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","High-impact S&T for long-range strike nodes in ABM."
"USAF BA2","USAF-BA2-0602268F","Air Force","Department of the Air Force","Logistics & Sustainment Applied Research","", "Logistics / Sustainment","Predictive maintenance, supply chain analytics, AM for sustainment","0602268F","0602268F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 3 – Low","AFRL","AFRL + AFLCMC","","Applied Research","BA2 logistics S&T → BA3 sustainment ATDs → BA4/BA7 logistics modernization","Air Force, joint sustainment stakeholders","Data quality and adoption risks","Improves readiness, availability, and cost for multiple fleets","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Sustainment-side node affecting operational availability in ABM."
"USAF BA2","USAF-BA2-0602282F","Air Force","Department of the Air Force","Battlespace Weather & Atmospheric Effects Applied Research","", "Environmental Intel / ISR","Atmospheric sensing, weather modeling, effects on ISR/comms/DE","0602282F","0602282F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RVB + 557th Weather Wing","","Applied Research","BA2 battlespace weather S&T → BA3 tools → BA4 integration into planning and systems","Air Force, joint weather stakeholders","Forecast uncertainty; model fidelity limits","Improves mission planning and system performance across portfolios","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Environmental multipliers for multiple ABM nodes."
"USAF BA2","USAF-BA2-0602302F","Air Force","Department of the Air Force","Computational Modeling, Simulation & Virtual Test Applied Research","", "M&S / Digital Engineering","Computational modeling, digital verification, virtual prototyping","0602302F","0602302F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL M&S Divisions","","Applied Research","BA2 M&S S&T → BA3 M&S ATDs → BA4 digital test integration","Air Force, USSF, OSD(R&E)","Model validation and integration risk","Enables digital engineering and reduced physical test burden","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Driver for digital maturity parameters in ABM."
"USAF BA2","USAF-BA2-0602305F","Air Force","Department of the Air Force","Aerospace Medicine & Biodefense Applied Research","", "Biomed / Human Systems","Aeromedical, biodefense, physiological stress, toxins/stressors","0602305F","0602305F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 3 – Low","AFRL","711 HPW","","Applied Research","BA2 aerospace medicine S&T → BA3 biomedical ATDs → BA4 health system integration","Air Force, joint health stakeholders","Biological uncertainty; limited operational data","Supports crew safety, resilience, and biodefense readiness","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Health and resilience modifier in ABM."
"USAF BA2","USAF-BA2-0602310F","Air Force","Department of the Air Force","Nuclear Enterprise Applied Research (Security/Surety/Hardening)","", "Nuclear / Security","Nuclear enterprise surety, hardening, comms resilience","0602310F","0602310F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence; some details classified)","TRL 2–4","Tier 1 – High","AFRL","AFNWC + AFRL","","Applied Research","BA2 nuclear S&T → BA3 surety/hardening ATDs → BA4 enterprise modernization","Air Force, USSTRATCOM","Very high consequence risk; hardening complexity","Supports nuclear deterrent credibility and enterprise resilience","Air Force R-1 / nuclear enterprise docs","","https://comptroller.defense.gov/Budget-Materials/","High-priority nuclear node in ABM."
"USAF BA2","USAF-BA2-0602315F","Air Force","Department of the Air Force","Multi-Domain Sensing & Fusion Applied Research","", "ISR / Fusion / AI-ML","Cross-domain sensing, all-domain ISR indicators, fusion pre-processors","0602315F","0602315F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RY","","Applied Research","BA2 fusion S&T → BA3 fusion ATDs → BA4 ISR PED integration","Air Force, USSF, joint ISR stakeholders","Data volume and heterogeneity challenges","Supports ABMS/JADC2 and multi-INT ISR modernization","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Fusion S&T node driving ISR processing behaviors in ABM."
"USAF BA2","USAF-BA2-0602320F","Air Force","Department of the Air Force","Assured PNT, Navigation & Timing Applied Research","", "ISR / PNT / C4ISR","GPS-denied navigation, alt-PNT, inertial sensors, collaborative PNT","0602320F","0602320F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RY + AFRL/RI","","Applied Research","BA2 PNT S&T → BA3 A-PNT ATDs → BA4 platform navigation/timing systems","Air Force, USSF, joint PNT stakeholders","Adversary jamming/spoofing; sensor limitations","Core enabler for resilient PNT across domains","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Critical infrastructure-like S&T node in ABM."
"USAF BA2","USAF-BA2-0602325F","Air Force","Department of the Air Force","Advanced Communications & Networking Science Applied Research","", "C4ISR / Networks","Resilient routing, MANETs, multi-path transport, comms protocols","0602325F","0602325F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RI","","Applied Research","BA2 comms/network S&T → BA3 networking ATDs → BA4 tactical/strategic networking","Air Force, joint C4ISR stakeholders","Contention with legacy systems and spectrum constraints","Supports JADC2 and resilient comms architectures","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Networking S&T node supporting C2 agents in ABM."
"USAF BA2","USAF-BA2-0602330F","Air Force","Department of the Air Force","Spacecraft Structures, Propulsion & Attitude Control Applied Research","", "Space / Propulsion / ISR","Spacecraft structures, in-space propulsion, attitude control","0602330F","0602330F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RV","","Applied Research","BA2 spacecraft S&T → BA3 space bus ATDs → BA4 space system integration","USSF, Air Force","Challenge of replicating on-orbit conditions in test","Enables maneuverable, resilient space architectures","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Space platform S&T node in ABM."
"USAF BA2","USAF-BA2-0602335F","Air Force","Department of the Air Force","Radiation Hardening & Electronics Survivability Applied Research","", "Nuclear / Space / C4ISR","Rad-hard electronics, EMP resilience, survivable architectures","0602335F","0602335F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RY + AFRL/RV","","Applied Research","BA2 rad-hard S&T → BA3 survivability ATDs → BA4 hardened system designs","Air Force, USSF, NC3 stakeholders","Radiation effects validation and cost","Supports survivable C3I, NC3, and space systems","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Survivability S&T node with cross-domain impact in ABM."
"USAF BA2","USAF-BA2-0602340F","Air Force","Department of the Air Force","Defensive Cyber Autonomy & Adversary Emulation Applied Research","", "Cyber / AI-ML / C4ISR","Autonomous cyber defense, automated hunt, adversary emulation","0602340F","0602340F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RI","","Applied Research","BA2 defensive cyber autonomy S&T → BA3 cyber ATDs → BA4 defensive tools","Air Force, joint cyber stakeholders","Trust in autonomy, integration with human operators","Supports more agile and resilient cyber defense","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Key cyber-defense innovation S&T node in ABM."
"USAF BA2","USAF-BA2-0602345F","Air Force","Department of the Air Force","Software Engineering & Resilient Architectures Applied Research","", "C4ISR / Software / Cyber","Software verification, formal methods, modular architectures","0602345F","0602345F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RI","","Applied Research","BA2 software S&T → BA3 digital engineering ATDs → BA4 platform software baselines","Air Force, USSF, OSD(R&E)","Complexity and adoption of advanced methods","Improves software quality, resilience, and upgradeability","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Software discipline factor across many ABM programs."
"USAF BA2","USAF-BA2-0602350F","Air Force","Department of the Air Force","Advanced Manufacturing & Sustainment Materials Applied Research","", "Materials / Manufacturing / Logistics","Additive manufacturing, advanced joining, repair techniques","0602350F","0602350F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RX","","Applied Research","BA2 AM S&T → BA3 manufacturing ATDs → BA4 depot/field repair solutions","Air Force, joint sustainment stakeholders","Certification of AM parts and processes","Supports more agile, distributed sustainment and repair","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Manufacturing/logistics S&T node impacting sustainment in ABM."
"USAF BA2","USAF-BA2-0602355F","Air Force","Department of the Air Force","C2 Science, Decision Support & Battle Management Applied Research","", "C4ISR / Battle Management / AI","Decision science, JADC2 concepts, decision aids","0602355F","0602355F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RI + C2 labs","","Applied Research","BA2 C2 science → BA3 C2/JADC2 ATDs → BA4 battle management systems","Air Force, joint C2 stakeholders","Operator trust; complex multi-domain integration","Underpins ABMS/JADC2 decision advantage","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Decision-science S&T node shaping C2 behavior in ABM."
"USAF BA2","USAF-BA2-0602360F","Air Force","Department of the Air Force","ISR Processing, Exploitation & Analysis Science Applied Research","", "ISR / AI-ML / Fusion","PED, multi-INT analytics, analyst automation","0602360F","0602360F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFRL","AFRL/RY + AFRL/RI","","Applied Research","BA2 ISR PED S&T → BA3 ISR PED ATDs → BA4 DCGS/ISR system improvements","Air Force, joint ISR stakeholders","Data overload; integration of automation with analysts","Improves ISR throughput and timeliness","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","ISR PED S&T node for analytic productivity in ABM."
"USAF BA2","USAF-BA2-0602365F","Air Force","Department of the Air Force","Installation Resilience, Energy & Infrastructure Applied Research","", "Installation Resilience / Environmental Intel","Base energy resilience, microgrids, physical security sensing","0602365F","0602365F","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","AFCEC / AFRL","AFCEC + AFRL","","Applied Research","BA2 installation resilience S&T → BA3 resilience ATDs → BA4 base modernization","Air Force, joint installation stakeholders","Infrastructure and climate-related risks","Supports readiness by improving base resilience and security","Air Force R-1","","https://comptroller.defense.gov/Budget-Materials/","Installation resilience node that can modulate operational availability in ABM."
"SOCOM BA3","SOCOM-BA3-SOF-UAS","SOCOM","U.S. Special Operations Command","SOF ISR & Strike UAS Advanced Technology","", "ISR / Strike / Autonomy","SOF-focused UAS with ISR, low-signature strike, contested comms","TBD_SOCOM_BA3_UAS","TBD_SOCOM_BA3_UAS","RDT&E (MFP-11)","BA 3 (Advanced Technology Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 4–6","Tier 2 – Medium","USSOCOM SOF AT&L","USSOCOM PEO Fixed Wing / PEO SOF Warrior","","Advanced Technology Development","BA2 SOF ISR/autonomy S&T → BA3 SOF UAS ATD → BA4/BA5 SOF ISR & strike platforms","SOCOM, services, IC ISR partners","Austere basing constraints; vendor base fragmentation","Supports SOF ISR/strike in high-risk environments; MFP-11 structures","USSOCOM budget justification / NDAA SOF sections","","https://comptroller.defense.gov/Budget-Materials/","Key SOF-specific ATD node; interacts with service ISR/UAS programs in ABM."
"SOCOM BA4","SOCOM-BA4-SOF-NEXTGEN-ISR","SOCOM","U.S. Special Operations Command","Next-Generation SOF ISR System Development","", "ISR / C4ISR / Data Fusion","SOF-tailored ISR suites, sensors, PED tools, data fusion","TBD_SOCOM_BA4_NEXTGEN_ISR","TBD_SOCOM_BA4_NEXTGEN_ISR","RDT&E (MFP-11)","BA 4 (Advanced Component Development & Prototypes)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 6–8","Tier 1 – High","USSOCOM SOF AT&L","USSOCOM SOF AT&L + integration contractors","","System Development & Demonstration","BA3 SOF ISR ATDs → BA4 Next-Gen SOF ISR System → BA7 SOF ISR modernization","SOCOM, services, IC ISR stakeholders","Data integration complexity; multi-security-domain challenges","High-priority SOF ISR modernization line; aligns with counterterrorism and great-power competition missions","USSOCOM budget materials / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Provides a SOF-specific BA4 node feeding into ABM adoption behaviors."
"OUSD(R&E) BA3","OSDRE-BA3-TRUSTED-AI","OSD","Office of the Secretary of Defense","Trusted AI & Autonomy Advanced Technology","", "AI / Autonomy / C4ISR","Trusted AI, human-machine teaming, V&V for AI systems","TBD_OSDRE_BA3_TRUSTED_AI","TBD_OSDRE_BA3_TRUSTED_AI","RDT&E","BA 3 (Advanced Technology Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 4–6","Tier 1 – High","OUSD(R&E)","OUSD(R&E) with FFRDCs and service labs","","Advanced Technology Development","BA2 AI science (service labs) → BA3 OUSD(R&E) Trusted AI ATDs → BA4 service-specific system integration","OSD, services, IC analytic elements","Policy and assurance risk; lack of standards","High alignment with DoD AI ethical principles and NDAA AI provisions","DoD budget justification / AI strategy documents","","https://comptroller.defense.gov/Budget-Materials/","Cross-cutting portfolio node in ABM; couples multiple service programs via AI adoption."
"DTRA BA3","DTRA-BA3-CWMD-TECH","Defense Agency","Defense Threat Reduction Agency","Counter-WMD Technologies Advanced Technology","CWMD ATD","CBRN / CWMD / ISR","Detection, interdiction, defeat, consequence management of WMD threats","TBD_DTRA_BA3_CWMD","TBD_DTRA_BA3_CWMD","RDT&E","BA 3 (Advanced Technology Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 4–6","Tier 1 – High","DTRA RD-CB / RD-NT","DTRA R&D directorates","","Advanced Technology Development","BA2 CBRN S&T → BA3 CWMD ATDs → BA4/BA5 integration with service CBRN PoRs","DTRA, services, DHS, IC CBRN stakeholders","High technical and operational risk; reliance on specialized test ranges","Strong alignment with CWMD strategic guidance and NDAA CWMD provisions","DTRA budget materials / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Joint node feeding multiple service CBRN portfolios in ABM."
"MDA BA4","MDA-BA4-NGI","Defense Agency","Missile Defense Agency","Next Generation Interceptor (NGI) System Development","NGI","BMD / Missiles / Sensors","Next-gen interceptor propulsion, kill vehicle, guidance, BMDS integration","TBD_MDA_BA4_NGI","TBD_MDA_BA4_NGI","RDT&E","BA 4 (Advanced Component Development & Prototypes)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (program existence)","TRL 6–8","Tier 1 – High","MDA","MDA with prime integrators","","System Development & Demonstration","BA3 BMD ATDs (sensors, discrimination, kill vehicle tech) → BA4 NGI → BA5/BA7 deployed BMDS increments","MDA, Army, USSF, USSTRATCOM","Cost and schedule risk; technical risk in discrimination and reliability","Very high strategic priority for homeland missile defense; repeatedly highlighted in NDAA","MDA budget materials / NDAA missile defense sections","","https://comptroller.defense.gov/Budget-Materials/","High-impact BA4 node in ABM; useful for major-shock scenarios and cross-portfolio coupling."

