authority,domain,funding_source,gate,intel,kinetic,legal_status,org_type,outcome,researcher_id,stage,tick,trl
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,21,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,21,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,21,3
Title50,Cyber,POM,attempt,OSINT,Kinetic,unfavorable,GovLab,start,0,,22,2
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,22,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,22,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,22,3
Title50,Space,Partner,contracting,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,22,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,22,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,22,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,22,2
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,22,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,22,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,22,4
Title50,Air,Partner,contracting,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,22,5
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,22,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,22,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,22,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,22,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,22,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,22,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,22,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,22,3
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,23,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,23,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,23,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,23,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,23,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,23,4
Title10,Space,POM,contracting,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,23,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,23,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,23,4
Title50,Space,External,attempt,GEOINT,NonKinetic,unfavorable,GovContractor,start,20,,23,3
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,23,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,23,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,23,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,23,5
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,23,2
Title50,ISR,Partner,attempt,GEOINT,Kinetic,not_conducted,GovLab,start,28,,23,4
Title50,ISR,Partner,contracting,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,23,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,23,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,23,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,23,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,23,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,23,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,23,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,23,3
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,24,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,24,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,24,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,24,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,24,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,24,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,24,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,24,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,24,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,24,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,24,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,24,5
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,24,2
Title50,ISR,Partner,contracting,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,24,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,24,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,24,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,24,2
Title50,EW,ProgramBase,contracting,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,24,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,24,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,24,4
Title50,EW,Partner,test,GEOINT,NonKinetic,favorable_with_caveats,GovLab,pass,37,feasibility,24,4
Title50,EW,Partner,test,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,24,4
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,25,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,25,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,25,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,25,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,25,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,25,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,25,2
Title10,ISR,Partner,contracting,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,25,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,25,4
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,25,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,25,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,25,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,25,5
Title10,Air,UFR,attempt,HUMINT,Kinetic,unfavorable,GovContractor,start,26,,25,2
Title10,Air,UFR,contracting,HUMINT,Kinetic,unfavorable,GovContractor,fail,26,feasibility,25,2
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,25,2
Title50,ISR,Partner,funding,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,25,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,25,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,25,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,25,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,25,4
Title50,ISR,Partner,contracting,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,25,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,25,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,prototype_demo,25,4
Title50,Cyber,POM,attempt,SIGINT,Kinetic,not_conducted,GovLab,start,39,,25,4
Title50,Cyber,POM,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,25,4
Title50,Cyber,POM,contracting,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,26,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,26,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,26,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,26,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,26,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,26,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,26,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,26,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,26,4
Title10,EW,External,attempt,GEOINT,NonKinetic,not_conducted,GovLab,start,18,,26,3
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,26,3
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,26,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,26,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,26,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,26,5
Title10,Air,UFR,funding,HUMINT,Kinetic,unfavorable,GovContractor,fail,26,feasibility,26,2
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,26,2
Title50,ISR,Partner,funding,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,26,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,26,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,26,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,26,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,26,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,26,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,26,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,prototype_demo,26,4
Title50,Cyber,POM,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,26,4
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,27,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,27,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,27,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,27,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,27,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,27,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,27,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,27,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,27,4
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,27,3
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,27,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,27,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,27,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,27,5
Title10,Air,UFR,funding,HUMINT,Kinetic,unfavorable,GovContractor,fail,26,feasibility,27,2
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,27,2
Title50,ISR,Partner,contracting,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,27,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,27,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,27,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,27,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,27,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,27,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,27,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,prototype_demo,27,4
Title50,Cyber,POM,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,27,4
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,28,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,28,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,28,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,28,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,28,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,28,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,28,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,28,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,28,4
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,28,3
Title10,Cyber,ProgramBase,attempt,MASINT,NonKinetic,not_conducted,GovLab,start,19,,28,4
Title10,Cyber,ProgramBase,funding,MASINT,NonKinetic,favorable_with_caveats,GovLab,fail,19,feasibility,28,4
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,28,3
Title50,Cyber,ProgramBase,contracting,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,28,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,28,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,28,5
Title10,Air,UFR,funding,HUMINT,Kinetic,unfavorable,GovContractor,fail,26,feasibility,28,2
Title10,Maritime,Partner_CoDev,contracting,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,28,2
Title50,ISR,Partner,funding,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,28,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,28,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,28,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,28,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,28,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,28,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,28,4
Title50,Cyber,POM,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,28,4
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,29,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,29,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,29,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,29,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,29,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,29,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,29,2
Title10,ISR,Partner,contracting,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,29,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,29,4
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,29,3
Title10,Cyber,ProgramBase,contracting,MASINT,NonKinetic,favorable_with_caveats,GovLab,fail,19,feasibility,29,4
Title50,Space,External,contracting,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,29,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,29,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,29,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,29,5
Title10,Air,UFR,funding,HUMINT,Kinetic,unfavorable,GovContractor,fail,26,feasibility,29,2
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,29,2
Title50,ISR,Partner,funding,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,29,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,29,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,29,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,29,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,29,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,29,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,29,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,prototype_demo,29,4
Title50,Cyber,POM,contracting,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,29,4
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,30,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,30,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,30,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,30,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,30,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,30,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,30,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,30,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,30,4
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,30,3
Title10,Cyber,ProgramBase,funding,MASINT,NonKinetic,favorable_with_caveats,GovLab,fail,19,feasibility,30,4
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,30,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,30,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,30,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,30,5
Title10,Maritime,Partner_CoDev,funding,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,30,2
Title50,ISR,Partner,funding,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,30,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,30,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,30,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,30,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,30,4
Title50,ISR,Partner,funding,OSINT,NonKinetic,favorable,Commercial,fail,34,feasibility,30,3
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,30,4
Title50,EW,Partner,contracting,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,prototype_demo,30,4
Title50,Cyber,POM,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,30,4
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,31,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,31,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,31,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,31,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,31,4
Title50,ISR,Partner_CoDev,attempt,MASINT,NonKinetic,not_conducted,GovContractor,start,10,,31,4
Title50,ISR,Partner_CoDev,funding,MASINT,NonKinetic,favorable_with_caveats,GovContractor,fail,10,feasibility,31,4
Title10,Space,POM,funding,HUMINT,Kinetic,unfavorable,Commercial,fail,13,feasibility,31,2
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,31,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,31,4
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,31,3
Title10,Cyber,ProgramBase,funding,MASINT,NonKinetic,favorable_with_caveats,GovLab,fail,19,feasibility,31,4
Title50,Space,External,funding,GEOINT,NonKinetic,unfavorable,GovContractor,fail,20,feasibility,31,3
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,31,2
Title50,Space,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,23,feasibility,31,4
Title50,Air,Partner,funding,OSINT,Kinetic,favorable_with_caveats,Commercial,fail,25,prototype_demo,31,5
Title10,Air,UFR,funding,HUMINT,Kinetic,unfavorable,GovContractor,fail,26,feasibility,31,2
Title10,Maritime,Partner_CoDev,contracting,SIGINT,NonKinetic,favorable,GovContractor,fail,27,feasibility,31,2
Title50,ISR,Partner,funding,GEOINT,Kinetic,favorable_with_caveats,GovLab,fail,28,feasibility,31,4
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,31,2
Title10,Maritime,External,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,prototype_demo,31,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,31,2
Title50,EW,ProgramBase,funding,OSINT,Kinetic,favorable,GovLab,fail,33,feasibility,31,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,31,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,prototype_demo,31,4
Title50,Cyber,POM,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,39,feasibility,31,4
Title50,Cyber,POM,funding,OSINT,Kinetic,unfavorable,GovLab,fail,0,feasibility,32,2
Title10,Land,Partner_CoDev,funding,GEOINT,NonKinetic,favorable,Commercial,fail,1,feasibility,32,2
Title50,Cyber,UFR,funding,SIGINT,NonKinetic,favorable,GovLab,fail,2,feasibility,32,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,32,4
Title50,Land,UFR,funding,SIGINT,NonKinetic,favorable_with_caveats,GovLab,fail,5,feasibility,32,2
Title10,Air,External,funding,OSINT,NonKinetic,favorable,GovContractor,fail,9,feasibility,32,4
Title50,ISR,Partner_CoDev,funding,MASINT,NonKinetic,favorable_with_caveats,GovContractor,fail,10,feasibility,32,4
Title10,ISR,Partner,funding,SIGINT,Kinetic,favorable_with_caveats,GovLab,fail,15,feasibility,32,4
Title50,Cyber,POM,funding,GEOINT,NonKinetic,favorable_with_caveats,Commercial,fail,16,feasibility,32,4
Title10,EW,External,funding,GEOINT,NonKinetic,favorable,GovLab,fail,18,feasibility,32,3
