adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_stage_age,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,GovLab,Sensors,,UFR,test,,,1.04,0.4165,,0.6,0.259896,,2,1.0,,ISR,Kinetic,2,,,,unfavorable,,,,GovLab,fail,Leidos,PEO C4I,AF_BA3_002,39,Air Force,Agency,prototype_demo,16,2
,,,,Title10,,Microelectronics,1.0,POM,funding,,,1.18,0.4,1.0,0.36,0.14953,1.0,9,1.0,0.88,NA,Kinetic,9,,,,favorable,,,,GovLab,fail,None,DARPA,0602702E,0,DARPA,CCMD,feasibility,17,2
,,,,Title10,GovContractor,Autonomy_UxS,,ProgramBase,contracting,,,1.2,0.4,,0.65,0.312,,10,1.0,,ISR,NonKinetic,10,,,,favorable,,,,GovContractor,fail,SAIC,DEVCOM,OUSD_MOD_001,2,OUSD(R&E),Service HQ,prototype_demo,17,3
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.06,0.4,1.0,0.2625,0.097944,1.0,3,1.0,0.88,ISR,NonKinetic,3,,,,favorable_with_caveats,,,,GovContractor,fail,NG,NRL,0603892C,4,MDA,POC-User,functional_test,17,2
,,,,Title10,,Missile_Defense,0.75,UFR,funding,,,1.26,0.4,1.0,0.18375,0.081497,1.0,13,1.0,0.88,ISR,Kinetic,13,,,,favorable_with_caveats,,,,Commercial,fail,NG,DARPA,0603888C,5,MDA,Agency,vulnerability_test,17,2
,,,,Title10,,Sensors,1.0,External,funding,,,1.12,0.4,1.0,0.32,0.126157,1.0,6,1.0,0.88,ISR,Kinetic,6,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,MDA_HYP_001,6,MDA,Agency,prototype_demo,17,3
,,,,Title10,,Foundational_Science,1.0,External,funding,,,1.06,0.4,1.0,0.32,0.119398,1.0,3,1.0,0.88,NA,NonKinetic,3,,,,unfavorable,,,,GovLab,fail,LM,AFLCMC,ARMY_BA2_001,7,Army,Service HQ,feasibility,17,4
,,,,Title10,,Land_Warfare,1.0,Partner,funding,,,1.16,0.4,1.0,0.3,0.122496,1.0,8,1.0,0.88,ISR,Kinetic,8,,,,unfavorable,,,,Commercial,fail,Boeing,NRL,ARMY_BA3_001,8,Army,Agency,prototype_demo,17,2
,,,,Title10,,C2_JADC2,0.75,Partner_CoDev,funding,,,1.08,0.4,1.0,0.223125,0.084823,1.0,4,1.0,0.88,ISR,NonKinetic,4,,,,unfavorable,,,,Commercial,fail,Leidos,DARPA,ARMY_BA5_001,10,Army,CCMD,vulnerability_test,17,3
,,,,Title10,,Maritime_Warfare,1.0,ProgramBase,funding,,,1.16,0.4,1.0,0.4,0.163328,1.0,8,1.0,0.88,NA,NonKinetic,8,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,prototype_demo,17,5
,,,,Title10,,Autonomy_UxS,1.0,POM,funding,,,1.2,0.4,1.0,0.36,0.152064,1.0,10,1.0,0.88,ISR,Kinetic,10,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,17,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.2,0.4,1.0,0.223125,0.094248,1.0,10,1.0,0.88,NA,NonKinetic,10,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NRL,NAVY_BA6_001,14,Navy,CCMD,operational_test,17,3
,,,,Title10,,Air_Dominance,1.0,POM,funding,,,1.02,0.4,1.0,0.36,0.129254,1.0,1,1.0,0.88,NA,Kinetic,1,,,,favorable,,,,Commercial,fail,NG,DARPA,AF_BA2_001,15,Air Force,CCMD,feasibility,17,2
,,,,Title10,,Sensors,0.75,ProgramBase,funding,,,1.22,0.4,1.0,0.2625,0.112728,1.0,11,1.0,0.88,ISR,NonKinetic,11,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA4_001,17,Air Force,Agency,functional_test,17,3
,,,,Title10,,C2_JADC2,0.75,POM,funding,,,1.14,0.4,1.0,0.23625,0.094802,1.0,7,1.0,0.88,ISR,Kinetic,7,,,,unfavorable,,,,GovLab,fail,Leidos,DEVCOM,AF_BA5_001,18,Air Force,Service HQ,vulnerability_test,17,2
,,,,MFP11,,ISR,0.75,ProgramBase,funding,,,1.1,0.4,1.0,0.2625,0.0924,1.0,5,1.0,0.8,MultiINT,Kinetic,5,,,,favorable,,,,GovContractor,fail,Boeing,DARPA,SOCOM_BA4_001,20,SOCOM,Agency,functional_test,17,2
,,,,Title10;Title50,,Biotechnology,0.75,Partner_CoDev,funding,,,1.06,0.4,1.0,0.223125,0.083252,1.0,3,1.0,0.88,CBRNE,Kinetic,3,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,CBDP_BA3_001,24,CBDP,POC-User,functional_test,17,4
,,,,Title10,,Medical,0.75,External,funding,,,1.02,0.4,1.0,0.21,0.075398,1.0,1,1.0,0.88,Medical,NonKinetic,1,,,,unfavorable,,,,GovLab,fail,LM,DEVCOM,DHA_BA4_001,27,DHA,POC-User,functional_test,17,4
,,,,Title10,,AI_ML,1.0,POM,funding,,,1.08,0.4,1.0,0.36,0.136858,1.0,4,1.0,0.88,NA,NonKinetic,4,,,,favorable_with_caveats,,,,GovContractor,fail,Leidos,NAVWAR,DIU_BA3_001,28,DIU,Service HQ,prototype_demo,17,4
,,,,Title10,,Air_Dominance,1.0,ProgramBase,funding,,,1.34,0.4,1.0,0.4,0.188672,1.0,17,1.0,0.88,ISR,NonKinetic,17,,,,favorable,,,,GovLab,fail,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,prototype_demo,17,2
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.22,0.4,1.0,0.2625,0.112728,1.0,11,1.0,0.88,ISR,Kinetic,11,,,,favorable,,,,GovLab,fail,None,PEO C4I,ARMY_BA4_002,31,Army,CCMD,functional_test,17,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.06,0.4,1.0,0.223125,0.083252,1.0,3,1.0,0.88,NA,NonKinetic,3,,,,favorable,,,,Commercial,fail,NG,DEVCOM,ARMY_BA6_001,33,Army,Agency,operational_test,17,4
,,,,Title10,,Sensors,,Partner_CoDev,test,1.0,0.725,1.3,0.4,1.0,0.71,0.26767,1.0,15,1.0,,ISR,NonKinetic,15,,,,favorable,favorable,,,Commercial,fail,LM,DEVCOM,NAVY_BA3_002,35,Navy,CCMD,prototype_demo,17,4
,,,,Title10,,Air_Dominance,0.75,ProgramBase,funding,,,1.28,0.4,1.0,0.2625,0.118272,1.0,14,1.0,0.88,ISR,NonKinetic,14,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY_BA4_002,36,Navy,POC-User,functional_test,17,2
,,,,Title10,Commercial,C2_JADC2,,POM,contracting,,,1.34,0.4,,0.6,0.3216,,17,1.0,,ISR,NonKinetic,17,,,,favorable_with_caveats,,,,Commercial,fail,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,17,3
,,,,Title10,,Air_Dominance,1.0,ProgramBase,funding,,,1.2,0.4,1.0,0.4,0.16896,1.0,10,1.0,0.88,NA,NonKinetic,10,,,,favorable,,,,GovContractor,fail,SAIC,PEO C4I,AF_BA2_002,38,Air Force,Agency,feasibility,17,3
,,,,Title10,,Sensors,1.0,UFR,funding,,,1.06,0.4,1.0,0.28,0.104474,1.0,3,1.0,0.88,ISR,Kinetic,3,,,,unfavorable,,,,GovLab,fail,Leidos,PEO C4I,AF_BA3_002,39,Air Force,Agency,prototype_demo,17,2
,,,,Title10,,Microelectronics,1.0,POM,funding,,,1.2,0.4,1.0,0.36,0.152064,1.0,10,1.0,0.88,NA,Kinetic,10,,,,favorable,,,,GovLab,fail,None,DARPA,0602702E,0,DARPA,CCMD,feasibility,18,2
,,,,Title10,,Autonomy_UxS,1.0,ProgramBase,funding,,,1.22,0.4,1.0,0.4,0.171776,1.0,11,1.0,0.88,ISR,NonKinetic,11,,,,favorable,,,,GovContractor,fail,SAIC,DEVCOM,OUSD_MOD_001,2,OUSD(R&E),Service HQ,prototype_demo,18,3
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.08,0.4,1.0,0.2625,0.099792,1.0,4,1.0,0.88,ISR,NonKinetic,4,,,,favorable_with_caveats,,,,GovContractor,fail,NG,NRL,0603892C,4,MDA,POC-User,functional_test,18,2
,,,,Title10,,Missile_Defense,0.75,UFR,funding,,,1.28,0.4,1.0,0.18375,0.08279,1.0,14,1.0,0.88,ISR,Kinetic,14,,,,favorable_with_caveats,,,,Commercial,fail,NG,DARPA,0603888C,5,MDA,Agency,vulnerability_test,18,2
,,,,Title10,,Sensors,1.0,External,funding,,,1.14,0.4,1.0,0.32,0.12841,1.0,7,1.0,0.88,ISR,Kinetic,7,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,MDA_HYP_001,6,MDA,Agency,prototype_demo,18,3
,,,,Title10,GovLab,Foundational_Science,,External,contracting,,,1.08,0.4,,0.6,0.2592,,4,1.0,,NA,NonKinetic,4,,,,unfavorable,,,,GovLab,fail,LM,AFLCMC,ARMY_BA2_001,7,Army,Service HQ,feasibility,18,4
,,,,Title10,,Land_Warfare,1.0,Partner,funding,,,1.18,0.4,1.0,0.3,0.124608,1.0,9,1.0,0.88,ISR,Kinetic,9,,,,unfavorable,,,,Commercial,fail,Boeing,NRL,ARMY_BA3_001,8,Army,Agency,prototype_demo,18,2
,,,,Title10,,C2_JADC2,0.75,Partner_CoDev,funding,,,1.1,0.4,1.0,0.223125,0.086394,1.0,5,1.0,0.88,ISR,NonKinetic,5,,,,unfavorable,,,,Commercial,fail,Leidos,DARPA,ARMY_BA5_001,10,Army,CCMD,vulnerability_test,18,3
,,,,Title10,,Maritime_Warfare,1.0,ProgramBase,funding,,,1.18,0.4,1.0,0.4,0.166144,1.0,9,1.0,0.88,NA,NonKinetic,9,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,prototype_demo,18,5
,,,,Title10,,Autonomy_UxS,1.0,POM,funding,,,1.22,0.4,1.0,0.36,0.154598,1.0,11,1.0,0.88,ISR,Kinetic,11,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,18,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.22,0.4,1.0,0.223125,0.095819,1.0,11,1.0,0.88,NA,NonKinetic,11,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NRL,NAVY_BA6_001,14,Navy,CCMD,operational_test,18,3
,,,,Title10,Commercial,Air_Dominance,,POM,contracting,,,1.04,0.441,,0.6,0.275184,,2,1.0,,NA,Kinetic,2,,,,favorable,,,,Commercial,fail,NG,DARPA,AF_BA2_001,15,Air Force,CCMD,feasibility,18,2
,,,,Title10,,Sensors,0.75,ProgramBase,funding,,,1.24,0.4,1.0,0.2625,0.114576,1.0,12,1.0,0.88,ISR,NonKinetic,12,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA4_001,17,Air Force,Agency,functional_test,18,3
,,,,Title10,,C2_JADC2,0.75,POM,funding,,,1.16,0.4,1.0,0.23625,0.096466,1.0,8,1.0,0.88,ISR,Kinetic,8,,,,unfavorable,,,,GovLab,fail,Leidos,DEVCOM,AF_BA5_001,18,Air Force,Service HQ,vulnerability_test,18,2
,,,,MFP11,,ISR,0.75,ProgramBase,funding,,,1.12,0.4,1.0,0.2625,0.09408,1.0,6,1.0,0.8,MultiINT,Kinetic,6,,,,favorable,,,,GovContractor,fail,Boeing,DARPA,SOCOM_BA4_001,20,SOCOM,Agency,functional_test,18,2
,,,,MFP11,,C2_JADC2,0.75,ProgramBase,attempt,,,1.12,0.4,1.0,0.2625,0.09408,1.0,6,1.0,0.8,ISR,NonKinetic,,,,,not_conducted,,,,GovLab,start,Boeing,AFLCMC,SOCOM_BA5_001,21,SOCOM,Agency,,18,4
,,,,MFP11,,C2_JADC2,0.75,ProgramBase,funding,,,1.0,0.4,1.0,0.2625,0.084,1.0,0,1.0,0.8,ISR,NonKinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Boeing,AFLCMC,SOCOM_BA5_001,21,SOCOM,Agency,vulnerability_test,18,4
,,,,Title10;Title50,,Biotechnology,0.75,Partner_CoDev,funding,,,1.08,0.4,1.0,0.223125,0.084823,1.0,4,1.0,0.88,CBRNE,Kinetic,4,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,CBDP_BA3_001,24,CBDP,POC-User,functional_test,18,4
,,,,Title10,,Medical,0.75,External,funding,,,1.04,0.4,1.0,0.21,0.076877,1.0,2,1.0,0.88,Medical,NonKinetic,2,,,,unfavorable,,,,GovLab,fail,LM,DEVCOM,DHA_BA4_001,27,DHA,POC-User,functional_test,18,4
,,,,Title10,GovContractor,AI_ML,,POM,contracting,,,1.1,0.4,,0.65,0.286,,5,1.0,,NA,NonKinetic,5,,,,favorable_with_caveats,,,,GovContractor,fail,Leidos,NAVWAR,DIU_BA3_001,28,DIU,Service HQ,prototype_demo,18,4
,,,,Title10,,Air_Dominance,1.0,ProgramBase,funding,,,1.36,0.4,1.0,0.4,0.191488,1.0,18,1.0,0.88,ISR,NonKinetic,18,,,,favorable,,,,GovLab,fail,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,prototype_demo,18,2
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.24,0.4,1.0,0.2625,0.114576,1.0,12,1.0,0.88,ISR,Kinetic,12,,,,favorable,,,,GovLab,fail,None,PEO C4I,ARMY_BA4_002,31,Army,CCMD,functional_test,18,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.08,0.4,1.0,0.223125,0.084823,1.0,4,1.0,0.88,NA,NonKinetic,4,,,,favorable,,,,Commercial,fail,NG,DEVCOM,ARMY_BA6_001,33,Army,Agency,operational_test,18,4
,,,,Title10,,Sensors,1.0,Partner_CoDev,funding,,,1.32,0.4,1.0,0.34,0.157978,1.0,16,1.0,0.88,ISR,NonKinetic,16,,,,favorable,,,,Commercial,fail,LM,DEVCOM,NAVY_BA3_002,35,Navy,CCMD,prototype_demo,18,4
,,,,Title10,,Air_Dominance,0.75,ProgramBase,funding,,,1.3,0.4,1.0,0.2625,0.12012,1.0,15,1.0,0.88,ISR,NonKinetic,15,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY_BA4_002,36,Navy,POC-User,functional_test,18,2
,,,,Title10,,C2_JADC2,0.75,POM,funding,,,1.36,0.4,1.0,0.23625,0.113098,1.0,18,1.0,0.88,ISR,NonKinetic,18,,,,favorable_with_caveats,,,,Commercial,fail,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,18,3
,,,,Title10,,Air_Dominance,1.0,ProgramBase,funding,,,1.22,0.4,1.0,0.4,0.171776,1.0,11,1.0,0.88,NA,NonKinetic,11,,,,favorable,,,,GovContractor,fail,SAIC,PEO C4I,AF_BA2_002,38,Air Force,Agency,feasibility,18,3
,,,,Title10,,Sensors,1.0,UFR,funding,,,1.08,0.4,1.0,0.28,0.106445,1.0,4,1.0,0.88,ISR,Kinetic,4,,,,unfavorable,,,,GovLab,fail,Leidos,PEO C4I,AF_BA3_002,39,Air Force,Agency,prototype_demo,18,2
,,,,Title10,,Microelectronics,1.0,POM,funding,,,1.22,0.4,1.0,0.36,0.154598,1.0,11,1.0,0.88,NA,Kinetic,11,,,,favorable,,,,GovLab,fail,None,DARPA,0602702E,0,DARPA,CCMD,feasibility,19,2
,,,,Title10,,Autonomy_UxS,1.0,ProgramBase,funding,,,1.24,0.4,1.0,0.4,0.174592,1.0,12,1.0,0.88,ISR,NonKinetic,12,,,,favorable,,,,GovContractor,fail,SAIC,DEVCOM,OUSD_MOD_001,2,OUSD(R&E),Service HQ,prototype_demo,19,3
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.1,0.4,1.0,0.2625,0.10164,1.0,5,1.0,0.88,ISR,NonKinetic,5,,,,favorable_with_caveats,,,,GovContractor,fail,NG,NRL,0603892C,4,MDA,POC-User,functional_test,19,2
,,,,Title10,,Missile_Defense,0.75,UFR,funding,,,1.3,0.4,1.0,0.18375,0.084084,1.0,15,1.0,0.88,ISR,Kinetic,15,,,,favorable_with_caveats,,,,Commercial,fail,NG,DARPA,0603888C,5,MDA,Agency,vulnerability_test,19,2
,,,,Title10,,Sensors,1.0,External,funding,,,1.16,0.4,1.0,0.32,0.130662,1.0,8,1.0,0.88,ISR,Kinetic,8,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,MDA_HYP_001,6,MDA,Agency,prototype_demo,19,3
,,,,Title10,,Foundational_Science,1.0,External,funding,,,1.1,0.4,1.0,0.32,0.123904,1.0,5,1.0,0.88,NA,NonKinetic,5,,,,unfavorable,,,,GovLab,fail,LM,AFLCMC,ARMY_BA2_001,7,Army,Service HQ,feasibility,19,4
,,,,Title10,,Land_Warfare,1.0,Partner,funding,,,1.2,0.4,1.0,0.3,0.12672,1.0,10,1.0,0.88,ISR,Kinetic,10,,,,unfavorable,,,,Commercial,fail,Boeing,NRL,ARMY_BA3_001,8,Army,Agency,prototype_demo,19,2
,,,,Title10,Commercial,C2_JADC2,,Partner_CoDev,contracting,,,1.12,0.4,,0.6,0.2688,,6,1.0,,ISR,NonKinetic,6,,,,unfavorable,,,,Commercial,fail,Leidos,DARPA,ARMY_BA5_001,10,Army,CCMD,vulnerability_test,19,3
,,,,Title10,,Maritime_Warfare,1.0,ProgramBase,funding,,,1.2,0.4,1.0,0.4,0.16896,1.0,10,1.0,0.88,NA,NonKinetic,10,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,prototype_demo,19,5
,,,,Title10,,Autonomy_UxS,1.0,POM,funding,,,1.24,0.4,1.0,0.36,0.157133,1.0,12,1.0,0.88,ISR,Kinetic,12,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,19,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.24,0.4,1.0,0.223125,0.09739,1.0,12,1.0,0.88,NA,NonKinetic,12,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NRL,NAVY_BA6_001,14,Navy,CCMD,operational_test,19,3
,,,,Title10,,Air_Dominance,1.0,POM,funding,,,1.06,0.4,1.0,0.36,0.134323,1.0,3,1.0,0.88,NA,Kinetic,3,,,,favorable,,,,Commercial,fail,NG,DARPA,AF_BA2_001,15,Air Force,CCMD,feasibility,19,2
,,,,Title10,,Sensors,0.75,ProgramBase,funding,,,1.26,0.4,1.0,0.2625,0.116424,1.0,13,1.0,0.88,ISR,NonKinetic,13,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA4_001,17,Air Force,Agency,functional_test,19,3
,,,,Title10,,C2_JADC2,0.75,POM,funding,,,1.18,0.4,1.0,0.23625,0.098129,1.0,9,1.0,0.88,ISR,Kinetic,9,,,,unfavorable,,,,GovLab,fail,Leidos,DEVCOM,AF_BA5_001,18,Air Force,Service HQ,vulnerability_test,19,2
,,,,MFP11,,ISR,0.75,ProgramBase,funding,,,1.14,0.4,1.0,0.2625,0.09576,1.0,7,1.0,0.8,MultiINT,Kinetic,7,,,,favorable,,,,GovContractor,fail,Boeing,DARPA,SOCOM_BA4_001,20,SOCOM,Agency,functional_test,19,2
,,,,MFP11,GovLab,C2_JADC2,,ProgramBase,contracting,,,1.02,0.4655,,0.6,0.284886,,1,1.0,,ISR,NonKinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,Boeing,AFLCMC,SOCOM_BA5_001,21,SOCOM,Agency,vulnerability_test,19,4
,,,,Title10;Title50,,Biotechnology,0.75,Partner_CoDev,funding,,,1.1,0.4,1.0,0.223125,0.086394,1.0,5,1.0,0.88,CBRNE,Kinetic,5,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,CBDP_BA3_001,24,CBDP,POC-User,functional_test,19,4
,,,,Title10,,Medical,0.75,ProgramBase,attempt,,,1.1,0.4,1.0,0.223125,0.086394,1.0,5,1.0,0.88,Medical,Kinetic,,,,,not_conducted,,,,GovLab,start,Leidos,NRL,DHA_BA2_001,26,DHA,CCMD,,19,3
,,,,Title10,,Medical,1.0,ProgramBase,funding,,,1.0,0.4,1.0,0.4,0.1408,1.0,0,1.0,0.88,Medical,Kinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,Leidos,NRL,DHA_BA2_001,26,DHA,CCMD,feasibility,19,3
,,,,Title10,,Medical,0.75,External,funding,,,1.06,0.4,1.0,0.21,0.078355,1.0,3,1.0,0.88,Medical,NonKinetic,3,,,,unfavorable,,,,GovLab,fail,LM,DEVCOM,DHA_BA4_001,27,DHA,POC-User,functional_test,19,4
,,,,Title10,GovContractor,AI_ML,,POM,contracting,,,1.12,0.4,,0.65,0.2912,,6,1.0,,NA,NonKinetic,6,,,,favorable_with_caveats,,,,GovContractor,fail,Leidos,NAVWAR,DIU_BA3_001,28,DIU,Service HQ,prototype_demo,19,4
,,,,Title10,,Air_Dominance,1.0,ProgramBase,funding,,,1.38,0.4,1.0,0.4,0.194304,1.0,19,1.0,0.88,ISR,NonKinetic,19,,,,favorable,,,,GovLab,fail,Leidos,AFLCMC,ARMY_BA3_002,30,Army,POC-User,prototype_demo,19,2
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.26,0.4,1.0,0.2625,0.116424,1.0,13,1.0,0.88,ISR,Kinetic,13,,,,favorable,,,,GovLab,fail,None,PEO C4I,ARMY_BA4_002,31,Army,CCMD,functional_test,19,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.1,0.4,1.0,0.223125,0.086394,1.0,5,1.0,0.88,NA,NonKinetic,5,,,,favorable,,,,Commercial,fail,NG,DEVCOM,ARMY_BA6_001,33,Army,Agency,operational_test,19,4
,,,,Title10,,Sensors,1.0,Partner_CoDev,funding,,,1.34,0.4,1.0,0.34,0.160371,1.0,17,1.0,0.88,ISR,NonKinetic,17,,,,favorable,,,,Commercial,fail,LM,DEVCOM,NAVY_BA3_002,35,Navy,CCMD,prototype_demo,19,4
,,,,Title10,,Air_Dominance,0.75,ProgramBase,funding,,,1.32,0.4,1.0,0.2625,0.121968,1.0,16,1.0,0.88,ISR,NonKinetic,16,,,,favorable,,,,Commercial,fail,SAIC,PEO C4I,NAVY_BA4_002,36,Navy,POC-User,functional_test,19,2
,,,,Title10,,C2_JADC2,0.75,POM,funding,,,1.38,0.4,1.0,0.23625,0.114761,1.0,19,1.0,0.88,ISR,NonKinetic,19,,,,favorable_with_caveats,,,,Commercial,fail,NG,PEO C4I,NAVY_BA5_001,37,Navy,Agency,vulnerability_test,19,3
,,,,Title10,,Air_Dominance,1.0,ProgramBase,funding,,,1.24,0.4,1.0,0.4,0.174592,1.0,12,1.0,0.88,NA,NonKinetic,12,,,,favorable,,,,GovContractor,fail,SAIC,PEO C4I,AF_BA2_002,38,Air Force,Agency,feasibility,19,3
,,,,Title10,,Sensors,1.0,UFR,funding,,,1.1,0.4,1.0,0.28,0.108416,1.0,5,1.0,0.88,ISR,Kinetic,5,,,,unfavorable,,,,GovLab,fail,Leidos,PEO C4I,AF_BA3_002,39,Air Force,Agency,prototype_demo,19,2
,,,,Title10,,Microelectronics,1.0,POM,funding,,,1.24,0.4,1.0,0.36,0.157133,1.0,12,1.0,0.88,NA,Kinetic,12,,,,favorable,,,,GovLab,fail,None,DARPA,0602702E,0,DARPA,CCMD,feasibility,20,2
,,,,Title10,,Autonomy_UxS,1.0,ProgramBase,funding,,,1.26,0.4,1.0,0.4,0.177408,1.0,13,1.0,0.88,ISR,NonKinetic,13,,,,favorable,,,,GovContractor,fail,SAIC,DEVCOM,OUSD_MOD_001,2,OUSD(R&E),Service HQ,prototype_demo,20,3
,,,,Title10,,Strike,0.75,ProgramBase,funding,,,1.12,0.4,1.0,0.2625,0.103488,1.0,6,1.0,0.88,ISR,NonKinetic,6,,,,favorable_with_caveats,,,,GovContractor,fail,NG,NRL,0603892C,4,MDA,POC-User,functional_test,20,2
,,,,Title10,,Missile_Defense,0.75,UFR,funding,,,1.32,0.4,1.0,0.18375,0.085378,1.0,16,1.0,0.88,ISR,Kinetic,16,,,,favorable_with_caveats,,,,Commercial,fail,NG,DARPA,0603888C,5,MDA,Agency,vulnerability_test,20,2
,,,,Title10,,Sensors,1.0,External,funding,,,1.18,0.4,1.0,0.32,0.132915,1.0,9,1.0,0.88,ISR,Kinetic,9,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,MDA_HYP_001,6,MDA,Agency,prototype_demo,20,3
,,,,Title10,,Foundational_Science,1.0,External,funding,,,1.12,0.4,1.0,0.32,0.126157,1.0,6,1.0,0.88,NA,NonKinetic,6,,,,unfavorable,,,,GovLab,fail,LM,AFLCMC,ARMY_BA2_001,7,Army,Service HQ,feasibility,20,4
,,,,Title10,,Land_Warfare,1.0,Partner,funding,,,1.22,0.4,1.0,0.3,0.128832,1.0,11,1.0,0.88,ISR,Kinetic,11,,,,unfavorable,,,,Commercial,fail,Boeing,NRL,ARMY_BA3_001,8,Army,Agency,prototype_demo,20,2
,,,,Title10,,C2_JADC2,0.75,Partner_CoDev,funding,,,1.14,0.4,1.0,0.223125,0.089536,1.0,7,1.0,0.88,ISR,NonKinetic,7,,,,unfavorable,,,,Commercial,fail,Leidos,DARPA,ARMY_BA5_001,10,Army,CCMD,vulnerability_test,20,3
,,,,Title10,,Maritime_Warfare,1.0,ProgramBase,funding,,,1.22,0.4,1.0,0.4,0.171776,1.0,11,1.0,0.88,NA,NonKinetic,11,,,,favorable,,,,GovContractor,fail,LM,NRL,NAVY_BA2_001,11,Navy,Service HQ,prototype_demo,20,5
,,,,Title10,,Autonomy_UxS,1.0,POM,funding,,,1.26,0.4,1.0,0.36,0.159667,1.0,13,1.0,0.88,ISR,Kinetic,13,,,,favorable,,,,GovLab,fail,SAIC,PEO C4I,NAVY_BA3_001,12,Navy,CCMD,prototype_demo,20,2
,,,,Title10,,Test_Ranges,0.75,Partner_CoDev,funding,,,1.26,0.4,1.0,0.223125,0.09896,1.0,13,1.0,0.88,NA,NonKinetic,13,,,,favorable_with_caveats,,,,GovLab,fail,SAIC,NRL,NAVY_BA6_001,14,Navy,CCMD,operational_test,20,3
,,,,Title10,,Air_Dominance,1.0,POM,funding,,,1.08,0.4,1.0,0.36,0.136858,1.0,4,1.0,0.88,NA,Kinetic,4,,,,favorable,,,,Commercial,fail,NG,DARPA,AF_BA2_001,15,Air Force,CCMD,feasibility,20,2
,,,,Title10,GovLab,Sensors,,ProgramBase,contracting,,,1.28,0.4,,0.6,0.3072,,14,1.0,,ISR,NonKinetic,14,,,,favorable,,,,GovLab,fail,None,DEVCOM,AF_BA4_001,17,Air Force,Agency,functional_test,20,3
,,,,Title10,,C2_JADC2,0.75,POM,funding,,,1.2,0.4,1.0,0.23625,0.099792,1.0,10,1.0,0.88,ISR,Kinetic,10,,,,unfavorable,,,,GovLab,fail,Leidos,DEVCOM,AF_BA5_001,18,Air Force,Service HQ,vulnerability_test,20,2
